,mode,index_col,avC,avP,sdC,sdP,avR,maxC,maxP,stdCR,stdCP,AvRR
3,DailyWash,3,3.0525,674.76,3.294957388,782.8037684,514.7200285,7.22,1675,3.177185572,754.5756214,612.5586664
4,DailyWash,4,2.621166667,571.3833333,3.157909154,750.8128053,528.3755276,0.62,69,0.11869798,16.59264263,596.653023
5,DailyWash,5,2.190866667,468.0666667,2.95185596,702.3294669,545.5083167,0.62,75,0.130687396,18.07150548,614.0394731
6,DailyRinse,6,1.886833333,397.5388889,2.778850587,660.0633994,603.3980263,0.57,69,0.160028733,21.88898322,892.8465742
7,DailyRinse,7,1.732,357.4857143,2.60735467,619.5216648,589.8834895,1.67,256,0.538133107,84.47365773,508.7962685
8,DailyRinse,8,1.558375,318.3875,2.482042001,588.5993408,642.3983948,0.65,89,0.174022393,24.56960556,1010.002733
9,DailyRinse,9,1.484592593,298.0037037,2.357156078,558.7066085,623.8408832,1.84,286,0.601370179,96.55155255,475.3807902
10,DailySpin,10,1.367533333,272.18,2.263861187,535.64008,672.413033,0.52,71,0.164392298,23.83084546,1109.562381
11,DailySpin,11,1.316727273,258.5060606,2.170108387,513.098243,656.263393,1.88,294,0.54041959,85.6144861,494.7669929
12,DailySpin,12,1.340135135,256.5810811,2.081941775,488.1404238,668.1974997,2.72,439,1.113648169,182.4785481,766.6538798
0,DailyWash,0,2.161666667,463.1333333,3.003478539,703.5555873,648.7015104,7.09,1621,3.003478539,703.5555873,648.7015104
1,DailyWash,1,2.5098,546.12,3.154769949,740.4100254,605.4428463,7.16,1656,3.379354657,794.4183837,540.5548502
2,DailyWash,2,3.381375,751.0875,3.350340147,787.9747987,482.7578579,7.17,1659,3.204499638,756.3008501,278.2828774
3,DailyWash,3,2.9786,656.49,3.283913045,772.6551689,531.1030297,7.11,1636,2.470625054,583.622616,724.4837169
4,DailyWash,4,2.540916667,553.85,3.152587038,741.4865791,571.4997623,0.45,53,0.08984636,12.33853612,773.4834252
5,DailyWash,5,2.106733333,451.2533333,2.949406605,693.919054,607.4836481,0.57,60,0.10569964,12.99796624,751.4191914
6,DailyRinse,6,1.836388889,386.7222222,2.761299946,649.7614092,627.6335362,1.42,218,0.316595394,51.57113155,728.3829768
7,DailyRinse,7,1.673095238,345.8095238,2.597054725,610.7636148,647.8329057,1.84,285,0.621679224,98.73137828,769.0291224
8,DailyRinse,8,1.504208333,307.7,2.470788712,580.1447172,712.6951467,0.92,134,0.226463059,35.26934131,1166.730834
9,DailyRinse,9,1.425222222,286.3,2.348488193,551.0957814,698.7457206,1.8,275,0.619217155,96.15804161,587.1503116
10,DailySpin,10,1.312066667,261.4466667,2.254021837,528.094404,741.5006123,0.85,126,0.175253183,27.16702277,1126.294637
11,DailySpin,11,1.349666667,261.9242424,2.15663919,503.9797757,687.8723095,2.19,344,0.471254257,78.25209042,151.5892819
0,DailyWash,0,1.936333333,417.1333333,2.874017353,678.356723,812.3052311,7.11,1639,2.874017353,678.356723,812.3052311
1,DailyWash,1,1.9834,426.78,2.89559173,684.4370632,727.8976963,7.14,1646,3.001163634,710.9076389,601.2863942
2,DailyWash,2,3.053875,678.475,3.293725717,779.4197935,534.3476232,7.12,1643,3.180840704,756.3787358,211.764168
3,DailyWash,3,3.0556,678.26,3.282759778,777.6366893,498.283793,7.11,1637,3.323217963,790.570174,354.0284721
4,DailyWash,4,2.606,571.8833333,3.160136791,748.4516475,550.5326313,0.49,55,0.110148225,15.63397111,811.7768231
5,DailyWash,5,2.1606,466.14,2.962638319,701.7561292,595.2671015,0.59,57,0.115768795,14.84653294,774.2049822
6,DailyRinse,6,1.865333333,397,2.783734761,658.8428319,619.7702718,0.84,126,0.16940769,26.34669383,742.2861233
7,DailyRinse,7,1.713190476,357.2428571,2.614072116,618.6613988,632.9886016,1.84,286,0.640745704,102.0892611,712.2985801
8,DailyRinse,8,1.534,316.8958333,2.49095952,588.4142807,708.2624498,0.67,100,0.170970522,27.15946946,1235.179387
9,DailyRinse,9,1.454481481,295.0074074,2.366515074,558.8925188,686.1198132,1.74,266,0.583734017,91.14382344,508.9787205
10,DailySpin,10,1.337933333,268.9833333,2.272266647,535.8875391,727.4552889,0.58,65,0.145539425,20.18139008,1099.47457
11,DailySpin,11,1.364393939,267.4969697,2.175907824,511.803553,677.3293046,2.76,439,0.631611786,102.7979214,176.0694614
12,DailySpin,12,1.312324324,253.0675676,2.096404071,489.2398709,781.3111399,2.71,434,1.19583248,196.6041823,1639.161281
0,DailyWash,0,2.206666667,473.0333333,2.986514903,704.8735021,665.6440974,7.16,1649,2.986514903,704.8735021,665.6440974
1,DailyWash,1,2.2974,489.34,2.991186243,704.2645204,565.5857228,7.24,1678,3.070541312,720.9256185,415.4981609
